station_id	station_name	lon	lat	altitude	station_type	x_coord	y_coord	record_status
87917		-72.190	-51.690			-22959854.0000	18817340.0000	0
87925	里奥加耶戈斯机场	-69.270	-51.610			-23101748.0000	18115392.0000	0
87928		-68.340	-52.320			-23428622.0000	17954790.0000	0
87934	里奥格兰德，布宜诺斯艾利斯省	-67.740	-53.790			-24058960.0000	17938758.0000	0
87936	托勒胡因	-67.240	-54.690			-24470590.0000	17895554.0000	0
87938	乌斯怀亚机场	-68.310	-54.790			-24455804.0000	18175236.0000	0
88878	佩布尔岛	-59.590	-51.310			-23405912.0000	15768677.0000	0
88880		-60.670	-51.340			-23382304.0000	16031085.0000	0
88882		-60.890	-51.890			-23588958.0000	16114777.0000	0
88883	威德尔岛	-60.910	-51.890			-23588262.0000	16119648.0000	0
88888		-58.990	-51.890			-23650508.0000	15651440.0000	0
88889	芒特普莱森特机场	-58.440	-51.810			-23635088.0000	15513406.0000	0
88890		-57.890	-51.690			-23603264.0000	15373904.0000	0
88891		-57.750	-51.670			-23599200.0000	15338924.0000	0
88900	鸟岛，南乔治亚岛	-38.040	-53.990			-24590162.0000	10426363.0000	0
88902		-36.490	-54.260			-24666690.0000	10020273.0000	0
88903		-36.490	-54.260			-24666690.0000	10020273.0000	0
88925		-45.590	-60.710			-28090302.0000	12293606.0000	0
88946		-27.290	-59.490			-26820346.0000	7168497.5000	0
88958		-68.910	-67.760			-32406376.0000	20151392.0000	0
88961		-67.090	-68.190			-32926942.0000	19622058.0000	0
88962		-68.340	-71.320			-36053428.0000	20761918.0000	0
88963	埃斯佩兰萨站	-56.970	-63.390			-29647936.0000	15762240.0000	0
88968	奥尔卡达斯站	-44.720	-60.720			-28091028.0000	12041172.0000	0
88970		-60.090	-64.990			-30676376.0000	16868876.0000	0
88971		-62.790	-64.790			-30401424.0000	17698146.0000	0
88974		-60.590	-62.990			-29245872.0000	16830396.0000	0
88986	南图勒岛	-27.310	-59.440			-26794306.0000	7179683.5000	0
89001		-2.340	-70.290			-32000548.0000	-3213064.2500	0
89002	格·冯·诺伊迈尔站	-8.240	-70.660			-33290726.0000	-1396034.8750	0
89004	南非国家南极考察队自动气象站	-2.790	-71.690			-33529230.0000	-3781345.5000	0
89005	科塔斯/全球自动观测中继系统 id 3314	-9.740	-74.190			-37816252.0000	-2631577.7500	0
89009	阿蒙森-斯科特站	0.010	-89.990			-2825512192.0000	-1482987904.0000	0
89020		-26.160	-75.570			-42107188.0000	3476057.7500	0
89022	哈利湾站	-26.640	-75.570			-42152604.0000	3684836.5000	0
89024		-23.720	-77.510			-45627136.0000	1489117.2500	0
89034	贝尔格拉诺ⅱ站	-34.610	-77.860			-47398000.0000	6575618.0000	0
89042	锡格尼岛站	-45.590	-60.710			-28090302.0000	12293606.0000	0
89044		-40.210	-77.560			-46986812.0000	9374126.0000	0
89045		-45.990	-77.890			-47864972.0000	12173239.0000	0
89049	ago-2	-46.370	-85.660			-87994424.0000	12038770.0000	0
89050	别林斯豪森自动站	-58.920	-62.190			-28791452.0000	16262003.0000	0
89051		-56.290	-63.490			-29736874.0000	15560510.0000	0
89052	阿尔茨托夫斯基站	-58.460	-62.160			-28788746.0000	16122992.0000	0
89053	朱巴尼站	-58.620	-62.220			-28821314.0000	16175086.0000	0
89054	乌拉圭国家气象局所属站	-58.840	-62.170			-28781628.0000	16236680.0000	0
89055	马兰比奥站（南极气象中心）	-56.710	-64.220			-30236514.0000	15740149.0000	0
89056	埃杜阿尔多南极气象中心	-58.970	-62.170			-28776916.0000	16275306.0000	0
89057	阿尔图罗普拉特站	-59.670	-62.490			-28955628.0000	16509827.0000	0
89058	长城站	-58.960	-62.210			-28802726.0000	16275453.0000	0
89059	伯尔纳多-奥伊金斯将军站	-56.670	-63.310			-29602652.0000	15665025.0000	0
89060		-60.990	-64.190			-30053344.0000	17069786.0000	0
89061	帕默站	-64.070	-64.760			-30311312.0000	18095568.0000	0
03865		-1.390	50.910			-6169657.0000	9592724.0000	0
03866	圣凯瑟琳角	-1.290	50.590			-6198594.5000	9569863.0000	0
03867		-1.210	50.830			-6171838.0000	9577132.0000	0
03869		1.310	50.810			-6089314.0000	9416566.0000	0
03870		1.010	50.610			-6119463.0000	9424660.0000	0
03872	索尼岛	-0.910	50.830			-6161995.5000	9558031.0000	0
